,lon,lat,estação,Belgrano,Palermo,Recoleta,Retiro
12,-58.3740182164816,-34.5911938083332,RETIRO,0,0,0,1
55,-58.3931251809727,-34.599639552419,CALLAO,0,0,0,1
86,-58.39101882656,-34.5830363400093,FACULTAD DE DERECHO - JULIETA LANTERI,0,0,0,1
87,-58.3758498374305,-34.592114361931,RETIRO,0,0,0,1
6,-58.3979237555734,-34.5997570807639,FACULTAD DE MEDICINA,0,0,1,0
8,-58.4071613201899,-34.5916278437199,AGÜERO,0,0,1,0
53,-58.4112939013936,-34.5882371084182,BULNES,0,0,1,0
83,-58.4037214964387,-34.5984551117734,CÓRDOBA,0,0,1,0
84,-58.3972155751019,-34.5874615464262,LAS HERAS,0,0,1,0
85,-58.4023761750349,-34.5945253962188,SANTA FE - CARLOS JAUREGUI,0,0,1,0
9,-58.4159554190067,-34.5851559440493,R.SCALABRINI ORTIZ,0,1,0,0
10,-58.4211960101264,-34.5814111936045,PLAZA ITALIA,0,1,0,0
11,-58.4257114411123,-34.5784220227904,PALERMO,0,1,0,0
52,-58.4421707059652,-34.6310418421655,EMILIO MITRE,0,1,0,0
60,-58.4155328189678,-34.6253661058926,BOEDO,0,1,0,0
61,-58.4350135337338,-34.5751783641113,MINISTRO CARRANZA - MIGUEL ABUELO,0,1,0,0
62,-58.4446681483349,-34.5700123078257,OLLEROS,1,0,0,0
63,-58.4521256033889,-34.5662152421589,JOSE HERNANDEZ,1,0,0,0
69,-58.3709684989674,-34.6088103091689,PLAZA DE MAYO,1,0,0,0
